"CASE_NUMBER","PRIMARY/SUB","cluster_id","agent_id","EMPLOYER_STATE","employer_latitude","employer_longitude","AGENT_ATTORNEY_STATE","agent_latitude","agent_longitude","WORKSITE_STATE","worksite_latitude","worksite_longitude","JOB_TITLE","PRIMARY_CROP","NBR_WORKERS_REQUESTED","BASIC_NUMBER_OF_HOURS","BASIC_RATE_OF_PAY","BASIC_UNIT_OF_PAY","SUPERVISE_OTHER_EMP","EDUCATION_LEVEL","EMP_EXPERIENCE_REQD","EMP_EXP_NUM_MONTHS","OTHER_WORKSITE_LOCATION","ORGANIZATION_FLAG","worksite_latitude_adj","worksite_longitude_adj","labor_aggregator","joint_application"
"H-300-13038-301403","PRI","arnold farms",NA,"MD",39.2089986,-76.0666126,NA,NA,NA,"MD",39.2089986,-76.0666126,"Farmworkers, Laborers, Crop, Nursery, and Greenhouse","Fruits and Vegetables",18,35,11.66,"Hour","N","None","Y",3,"N","Individual Employer",39.2089986,-76.0666126,"N",0
"H-300-14323-357885","PRI","cleveland thibodeaux jr","crawdadddy labor services  cls","LA",30.234925,-92.2684617,"LA",30.234925,-92.2684617,"LA",30.234925,-92.2684617,"GENERAL FARMWORKER","Crawfish",2,40,9.87,"Hour","N","None","Y",3,"Y","Individual Employer",30.234925,-92.2684617,"N",0
"H-300-15028-854772","PRI","louisiana aquaculture investments",NA,"LA",30.4494155,-91.1869659,NA,NA,NA,"LA",30.7174143,-91.9092821,"Laborer Aquatic Life","Crawfish",12,40,10.18,"Hour","N","None","N",NA,"N","Individual Employer",30.7174143,-91.9092821,"N",0
"H-300-15029-124250","PRI","glenn dale ranches","snake river farmers association","ID",42.5990714,-114.7594946,"ID",42.5585202,-113.763904,"ID",42.5990714,-114.7594946,"Farm/Irrigation/Livestock Worker","Corn",1,48,11.75,"Hour","N","None","Y",0,"Y","Individual Employer",42.5990714,-114.7594946,"N",0
"H-300-15170-593568","PRI","jw produce",NA,"CA",36.9092773,-121.7529071,NA,NA,NA,"CA",37.1229997,-120.2601754,"Farm Worker","Beets",20,40,11.86,"Hour","N","None","N",NA,"N","Individual Employer",37.1229997,-120.2601754,"N",0
"H-300-15207-198909","PRI","troy kuck silage harvesting","southern impact","NE",40.5266719,-99.6339231,"OK",36.1563122,-95.9927516,"NE",40.5266719,-99.6339231,"Farmworker","Grains",5,48,13.59,"Hour","N","None","Y",3,"Y","H-2A Labor Contractor or Job Contractor",40.5266719,-99.6339231,"N",0
"H-300-15208-604726","PRI","franco medina","cch bookkeeping","FL",26.6091509,-81.652407,"FL",27.2930999,-81.3628502,"FL",26.7542312,-80.9336753,"Harvest worker","Bell Peppers",30,36,10.19,"Hour","N","None","N",NA,"Y","H-2A Labor Contractor or Job Contractor",26.7542312,-80.9336753,"N",0
"H-300-15212-537583","PRI","mcclure custom pumping","golden opportunities international","IL",40.8667452,-90.7499415,"IA",43.0218327,-91.1784542,"IL",40.8667452,-90.7499415,"Farm Machine Operator","Agricultural Equipment Operator",6,40,11.61,"Hour","N","High School/GED","N",NA,"Y","H-2A Labor Contractor or Job Contractor",40.8667452,-90.7499415,"N",0
"H-300-15213-980714","PRI","lorenzo gabriel marquez","foremen","TX",34.8245521,-102.398778,"AZ",33.4484367,-112.074141,"TX",34.8245521,-102.398778,"General farm laborer","General Farmworker",8,40,10.35,"Hour","N","None","N",NA,"N","Individual Employer",34.8245521,-102.398778,"N",0
"H-300-15222-293562","PRI","laurel fork christmas trees","farmers aid america","NC",36.420403,-81.4734376,"FL",29.1924213,-82.1352029,"NC",36.4125434,-81.2637157,"FARMWORKERS  & LABORERS","Christmas Trees",8,40,10.32,"Hour","N","None","N",3,"Y","Individual Employer",36.4125434,-81.2637157,"N",0
"H-300-15224-984590","PRI","holland pyke","the bernard firm plc","OH",39.4158798,-81.4546369273327,"IA",42.0267567,-93.6170448,"OH",39.4158798,-81.4546369273327,"Farm Worker/Laborer","Construction of Livestock Buildings",11,40,11.61,"Hour","N","None","N",NA,"Y","Individual Employer",39.4158798,-81.4546369273327,"N",0
"H-300-15230-845327","PRI","myrka mireya cardenas","monica saavedra","GA",32.2043546,-82.321791,"GA",55.8147279,-4.1727013,"GA",32.1615815,-81.9040047,"Farmworkers and Laborers","Corn",99,40,10,"Hour","N","None","Y",2,"Y","H-2A Labor Contractor or Job Contractor",32.1615815,-81.9040047,"N",0
"H-300-15230-932700","PRI","bar h farms","state services corporation","TX",27.7903032,-97.6688843,NA,NA,NA,"TX",27.7903032,-97.6688843,"Agricultural Equipment Operator","Grains",1,48,12,"Bi-Weekly","N","None","N",NA,"N","Individual Employer",27.7903032,-97.6688843,"N",0
"H-300-15231-232517","PRI","jeremy wanzek","liberty immigration","ND",46.891654,-99.117889,"ND",46.891654,-99.117889,"ND",46.891654,-99.117889,"Farm Ranch Animal Worker","Cattle",2,40,13.59,"Hour","N","None","Y",3,"N","Individual Employer",46.891654,-99.117889,"N",0
"H-300-15232-319902","PRI","ecological restoration services","azarmehr law group","LA",30.4494155,-91.1869659,"TX",30.2711286,-97.7436995,"LA",29.4676686,-90.5633064473696,"Nursery Worker","Trees",16,40,10.18,"Hour","N","None","N",NA,"N","Individual Employer",29.4676686,-90.5633064473696,"N",0
"H-300-15233-640484","PRI","hawaiian queen co","wfds","HI",19.494428,-155.917282,"MN",46.283015,-96.077558,"HI",19.494428,-155.917282,"Bee Worker","Bees",3,50,12.98,"Hour","N","None","Y",3,"N","Individual Employer",19.494428,-155.917282,"N",0
"H-300-15236-354217","PRI","lyda cattle co","the kershaw law firm pc","TX",30.891901,-102.883662,"TX",30.2711286,-97.7436995,"TX",30.891901,-102.883662,"Farmworker, Farm and Ranch Animals","Cattle",5,40,10.35,"Hour","N","None","N",NA,"N","Individual Employer",30.891901,-102.883662,"N",0
"H-300-15239-266331","PRI","paloma harvesting","low country labor company","FL",27.2158826,-81.8584164,"SC",32.7884363,-79.9399309,"NC",36.5055712,-81.1207497,"Farmworker","Christmas Trees",50,40,10.32,"Hour","N","None","Y",1,"Y","H-2A Labor Contractor or Job Contractor",36.5055712,-81.1207497,"N",0
"H-300-15239-550351","PRI","anna r perezquintino","david harrell","GA",32.2043546,-82.321791,"GA",32.1874042,-82.5656886,"GA",32.3671237,-81.8840039,"VEGETABLE AND HAND HARVESTER WORKERS","Vidalia Onions",74,40,10,"Hour","N","None","Y",2,"N","H-2A Labor Contractor or Job Contractor",32.3671237,-81.8840039,"N",0
"H-300-15240-126762","PRI","hotchkiss ranches","mountain plains ag service","CO",38.799707,-107.719503,"WY",42.8501191,-106.325138,"CO",38.799707,-107.719503,"Sheepherder","Sheep",10,60,750,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",38.799707,-107.719503,"N",0
"H-300-15240-635627","PRI","roche livestock","mountain plains ag service","ID",43.7851615,-116.9432088,"WY",42.8501191,-106.325138,"ID",43.7851615,-116.9432088,"Open Range Livestock Worker","Open Range Livestock",2,60,875,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",43.7851615,-116.9432088,"N",0
"H-300-15240-913598","PRI","ea farming","sethi law group","CA",34.9516362,-120.4164756,"CA",33.750631,-117.8722311,"CA",34.9516362,-120.4164756,"Temporary Agricultural Field Worker","Zucchini",45,40,11.89,"Hour","N","None","N",NA,"N","Individual Employer",34.9516362,-120.4164756,"N",0
"H-300-15243-264549","PRI","dave prince transport ltd","southern impact",NA,49.1926295,-100.4945182,"OK",36.1563122,-95.9927516,"ND",48.909464,-101.020712,"Farmworkers","Soybeans",5,48,13.59,"Hour","N","None","Y",3,"N","H-2A Labor Contractor or Job Contractor",48.909464,-101.020712,"N",0
"H-300-15243-487642","PRI","western range association",NA,"UT",40.7596198,-111.886797,NA,NA,NA,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",97,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.7596198,-111.886797,"Y",0
"H-300-15243-487642","SUB","preston arthur","western range association","ID",42.6079647,-113.78335,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.6079647,-113.78335,"N",1
